date,take_profit,buy_point,action,risk,quantity,exit_at_price,exit_at_time,pl
2022-10-03,358.27,361.08,SELL,8000,22,367.07,2022-10-03 15:45:00,-133.58000000000067
2022-10-04,366.83,372.5,SELL,8000,21,376.85,2022-10-04 15:45:00,-93.15000000000036
2022-10-05,377.06,373.68,BUY,8000,21,377.06,2022-10-05 13:20:00,69.18000000000048
2022-10-06,376.47,375.83,BUY,8000,21,376.47,2022-10-06 09:30:00,11.640000000001418
2022-10-07,372.92,368.75,BUY,8000,22,362.15,2022-10-07 15:45:00,-147.00000000000074
2022-10-11,360.03,358.33,BUY,8000,22,360.03,2022-10-11 11:35:00,35.60000000000055
2022-10-17,358.3,364.01,SELL,8000,22,367.16,2022-10-17 15:45:00,-71.10000000000109
2022-10-19,370.06,368.99,BUY,8000,22,370.06,2022-10-19 09:30:00,21.739999999999053
2022-10-21,365.33,364.12,BUY,8000,22,365.33,2022-10-21 09:30:00,24.81999999999898
2022-10-26,384.45,381.62,BUY,8000,21,384.45,2022-10-26 10:15:00,57.629999999999384
2022-10-27,382.62,383.07,SELL,8000,21,382.62,2022-10-27 09:40:00,7.649999999999818
2022-10-31,388.71,386.5,BUY,8000,21,386.79,2022-10-31 15:45:00,4.290000000000146
2022-11-03,374.84,371.46,BUY,8000,22,371.99,2022-11-03 15:45:00,9.860000000000763
2022-11-07,376.47,377.71,SELL,8000,21,376.47,2022-11-07 09:35:00,24.239999999999053
2022-11-09,381.76,379.93,BUY,8000,21,373.77,2022-11-09 15:45:00,-131.15999999999968
2022-11-14,398.16,396.66,BUY,8000,20,398.16,2022-11-14 10:05:00,28.2
2022-11-16,397.81,396.78,BUY,8000,20,395.71,2022-11-16 15:45:00,-23.199999999999637
2022-11-18,394.36,397.36,SELL,8000,20,394.36,2022-11-18 10:05:00,58.2
